subject_id||video_interface||stereo_reception_system||stand_design||weight||package_width||3d_technology||stand||supported_computer_resolution||viewable_size||timer_functions||series||voltage||model||yearly_consumption||connectivity||dimensions_with_stand||depth||speakers_type||brand||tv_tuner||dimensions_without_stand||response_time||commercial_features||channel_lock||image_contrast||warranty||batteries_included||audio_surround||package_height||compatible_channels||analog_tv_tuner||24p_technology||digital_tv_tuner||widescreen_modes||brightness||stand_color||dlna||3d||mpn||supported_audio_formats||total_size||wattage_standby||motion_enhancement_technology||viewing_angle||supported_video_formats||package_weight||image_aspect_ratio||usb_ports||product_gtin||display_type||internet_services||remote_control_model||package_depth||refresh_rate||wifi_protocol||memory||width||digital_audio_format||display_resolution||hdcp_compatability||speakers_qty||wattage_operational||product_type||height||<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>||computer_operating_system||pc_interface||color||closed_caption_capability||input_video_formats||hdmi_ports||supported_languages||supported_memory_cards||secondary_audio_program||backlight_technology||supported_picture_formats||builtin_dvd_player||
http://dws.products.catalog/84e2838d-a419-4a5b-a284-9463b01cea52||component, composite, hdmi||mts||tabletop||33.7 lbs||56.3 in||passive||yes||||54.6 in||||eg9600||ac 120/230 v ( 50/60 hz )||55eg9600||||wi-fi, lan||48 in x 8.4 in x 29.9 in||2 in||2 x main channel speaker - built-in - 10 watt||lg||||48 in x 2 in x 28.3 in||||||||||1 year||||yes||31.9 in||||||24p real cinema||||just scan||||||||yes||55eg9600/us||mp3, wma, pcm, ac3, aac, he-aac, e-ac3, dts||55 in||0.3 watt||||||divx hd||55.3 lbs||||3 port(s)||00719192596955||4k uhdtv (2160p)||||universal remote control||8.9 in||||||||48 in||||3840 x 2160||yes||2||||curved oled tv - smart tv||28.3 in||<http://schema.org/Product>||||||||||||3 port(s)||||||yes||||jpg, mpo, jps||||
http://dws.products.catalog/6fdaecb4-217f-4482-a1e0-8a4947ecb25d||component, composite, hdmi||mts||tabletop||94.8 lbs||65.7 in||active||||1024 x 768 (xga), 640 x 480 (vga), 800 x 600 (svga), 1280 x 768 (wxga), 1280 x 1024 (sxga), 1360 x 768, 1920 x 1080||69.5 in||sleep, wake||x850b||ac 120/230 v ( 50/60 hz )||xbr70x850b||||wi-fi, lan||||3 in||2 x main channel speaker - built-in - 10 watt||sony||1x analog/digital combo||||||hotel mode||yes||||1 year warranty||||yes||41.9 in||vhf:2-13, uhf:14-69, cable:1-135||ntsc||24p true cinema||atsc, qam||conventional 4:3, auto wide, full, wide zoom, zoom, normal, panorama, caption||||silver, black||yes||yes ( 3d glasses (2pcs) included )||xbr-70x850b||mp3, wma, wav, lpcm||70 in||0.2 watt||motionflow xr 240 technology||176 degrees||mpeg-1, mpeg-2, mpeg-4, motion-jpeg, xvid, wmv, avi, mkv, mov, avchd, ts, 3gpp, ps, webm||130.1 lbs||16:9||yes , 3 port(s)||00027242879157||4k uhdtv (2160p)||sony entertainment network||sony rm-yd102||19.2 in||||802.11b, 802.11g, 802.11n, 802.11a||||61.9 in||dolby digital output, dolby digital plus output, dolby pulse output||3840 x 2160||yes||2 speakers||305 watt||led-backlit lcd tv||36.9 in||<http://schema.org/Product>||||||black||yes||1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i, 2160/24p, 2160/25p, 2160/30p, 720/24p, 720/30p, 2160/60p||4 port(s)||english, french, spanish||||yes||led backlight - frame dimming||jpg, raw, mpo||||
http://dws.products.catalog/3c9c9b36-5c14-4bd5-8e51-6d228b20df4a||component, composite, hdmi||mts||tabletop||131.6 lbs||84.9 in||passive||||1024 x 768 (xga), 640 x 480 (vga), 800 x 600 (svga), 1280 x 768 (wxga), 1280 x 1024 (sxga), 1360 x 768, 1920 x 1080||78.6 in||sleep, wake||x900b||ac 120/230 v ( 50/60 hz )||xbr79x900b||||wi-fi, lan||||4.4 in||2 x main channel speaker - built-in 2 x subwoofer - built-in||sony||||||||hotel mode||yes||||1 year warranty||||yes||47.4 in||vhf:2-13, uhf:14-69, cable:1-135||ntsc||24p true cinema||atsc, qam||conventional 4:3, auto wide, full, wide zoom, zoom, normal, panorama, caption||||chrome mirror||yes||yes ( 3d glasses (2pcs) included )||xbr-79x900b/us||mp3, wma, wav, lpcm||79 in||0.2 watt||motionflow xr 960||178 degrees||mpeg-1, mpeg-2, mpeg-4, motion-jpeg, xvid, wmv, avi, mkv, mov, avchd, ts, 3gpp, ps, webm||172 lbs||16:9||yes , 3 port(s)||00027242879102||4k uhdtv (2160p)||sony entertainment network||sony rm-yd102||20.9 in||||802.11b, 802.11g, 802.11n, 802.11a||||79.9 in||dolby digital output, dolby digital plus output, dolby pulse output||3840 x 2160||yes||2 speakers, 2 subwoofers||408 watt||led-backlit lcd tv||41.5 in||<http://schema.org/Product>||||||black||yes||1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i, 2160/24p, 2160/25p, 2160/30p, 720/24p, 720/30p, 2160/60p||4 port(s)||english, french, spanish||||yes||led backlight - local dimming||jpg, raw, mpo||||
http://dws.products.catalog/f0311503-4d5a-4f53-a7f0-ef08edf80b1d||component, composite, hdmi||||tabletop||23.81 lbs||50.9 in||||||||48 in||||x830c||ac 120 v ( 60 hz )||xbr43x830c||||wi-fi, lan||||2 in||2 x main channel speaker - built-in - 10 watt||samsung||||||||||||||||||yes||28.1 in||||||||atsc, qam||||||||yes||||un48ju6400fxza||||48 in||0.3 watt||60 hz refresh rate||||||33.3 lbs||||yes , 2 port(s)||00887276069593||4k uhdtv (2160p)||||samsung tm1240a||5.2 in||||||||42.8 in||dts digital output, dolby digital plus output||3840 x 2160||yes||2 speakers||160 watt||led-backlit lcd tv - smart tv||24.8 in||<http://schema.org/Product>||||mobile high-definition link (mhl)||black||||||3 port(s)||english, french, spanish||||||led backlight||||||
http://dws.products.catalog/8ba6ac20-4219-4d09-b9c7-7ff20ca6dc05||component, composite, hdmi||||||25.13 lbs||46.5 in||||||||47.6 in||||d48||ac 120 v ( 60 hz )||d48-d0||85 kwh||wi-fi, lan||42.9 in x 9.8 in x 27.6 in x 25.1 lbs||9.8 in||2 x main channel speaker - built-in - 10 watt||vizio||||42.9 in x 2.9 in x 25.2 in x 24.3 lbs||||||||2000000:1||1 year warranty||||||29.6 in||||||||||||||||||||d48-d0||||48 in||0.5 watt||120hz effective refresh rate, clear action 240||178 degrees||||33.3 lbs||16:9||1 ports||00845226043475||1080p (full hd)||vizio internet apps plus||vizio xrt122||5.6 in||||802.11n||||42.9 in||dolby digital plus output||1920 x 1080||||2||135 watt||led-backlit lcd tv - smart tv||27.6 in||<http://schema.org/Product>||||||||||||3 ports||english, french, spanish||||||led backlight - full array, local dimming||||||
http://dws.products.catalog/995ea478-a822-44d8-a3c4-f48da4f19c18||component, composite, hdmi||mts||tabletop||22.7 lbs||45.4 in||||||||40 in||sleep, wake||es6100||||un40es6100||||wi-fi, lan||||1.8 in||2 x main channel speaker - built-in - 10 watt||samsung||||||||||yes||6000000:1||1 year warranty||||yes||25.4 in||||||||atsc, qam||||||||||||un40es6100||||40 in||||240 hz clear motion rate||||||30.2 lbs||||yes , 3 port(s)||00036725236998||1080p (fullhd)||smart hub||||5.2 in||||||||36.5 in||dolby digital plus output, dolby pulse output||1920 x 1080||yes||2 speakers||48 watt||led-backlit lcd tv - smart tv||21.8 in||<http://schema.org/Product>||||||black||yes||||3 port(s)||||||yes||led backlight||||||
http://dws.products.catalog/34eb9484-37a5-4809-9baf-0a27a126f963||component, composite, hdmi||mts||tabletop||31.7 lbs||46.9 in||||||1024 x 768 (xga), 640 x 480 (vga), 800 x 600 (svga), 1280 x 768 (wxga), 1280 x 1024 (sxga), 1360 x 768, 1920 x 1080, 3840 x 2160||48.5 in||sleep, wake||x830c||ac 120/230 v ( 50/60 hz )||xbr49x830c||||wi-fi, lan||||2.4 in||2 x main channel speaker - built-in - 10 watt||sony||1x analog/digital combo||||||hotel mode, demo mode||yes||||1 year warranty||||yes||31.2 in||vhf:2-13, uhf:14-69, cable:1-135||ntsc||24p true cinema||atsc, qam||conventional 4:3, auto wide, full, wide zoom, zoom, normal||||dark chrome mirror flat shaft||yes||||xbr-49x830c||mp3, wma, wav, flac (free lossless audio codec), lpcm||49 in||0.5 watt||motionflow xr 960||178 degrees||mpeg-1, mpeg-2, mpeg-4, motion-jpeg, xvid, wmv, avi, mkv, mov, avchd, ts, 3gpp, ps, webm||46.3 lbs||16:9||yes , 3 port(s)||00027242888043||4k uhdtv (2160p)||google play||sony rmt-tx100u||6.7 in||||802.11b, 802.11g, 802.11n, 802.11a, 802.11ac||||43 in||dolby digital output, dts digital output, dolby digital plus output, dolby pulse output||3840 x 2160||yes||2 speakers||150 watt||led-backlit lcd tv - smart tv||25.3 in||<http://schema.org/Product>||android tv||mobile high-definition link (mhl)||black||yes||1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i, 2160/24p, 2160/30p, 720/24p, 720/30p, 2160/60p||4 port(s)||english, french, spanish||||yes||led backlight - edge-lit, frame dimming||jpg, raw||||
http://dws.products.catalog/307772ee-0641-4423-97c1-972411622745||component, composite, hdmi||||tabletop||29.54 lbs||53.6 in||||||||49.5 in||||js7000||ac 120 v ( 60 hz )||un50js7000||||wi-fi, lan, bluetooth||||2.5 in||||samsung||1x analog, 1x digital||||||||||||||||yes||29.4 in||||||||atsc, qam||||||dark titan||yes||||un50js7000fxza||||50 in||||120 clear motion rate||||||42.3 lbs||||yes , 3 ports||00887276130040||4k suhdtv (2160p)||smart hub||samsung tm1260c||6 in||||802.11ac||||44.4 in||dolby digital output, dts digital output, dolby digital plus output||3840 x 2160||yes||2 speakers||||led-backlit lcd tv - smart tv||25.8 in||<http://schema.org/Product>||||||||yes||||4 ports||english, french, spanish||||||led backlight - full array||||||
http://dws.products.catalog/bc0a7887-c4ad-4924-a182-644f5c83301b||component, composite, hdmi||||tabletop||34.6 lbs||55.7 in||||||||54.6 in||||ju7100||ac 120 v ( 60 hz )||un55ju7100||||wi-fi, lan||||2.7 in||2 x main channel speaker - built-in - 10 watt||samsung||1x analog, 1x digital||||||||||||1 year warranty||||yes||32 in||||||||atsc, qam||||||brushed silver||yes||yes||un55ju7100fxza||||55 in||0.3 watt||240 clear motion rate||||||52 lbs||||yes , 3 port(s)||00887276094540||4k uhdtv (2160p)||smart hub||samsung tm1560a||6.6 in||||802.11ac||||48.9 in||dts digital output, dolby digital plus output||3840 x 2160||yes||2 speakers||210 watt||led-backlit lcd tv - smart tv||28.2 in||<http://schema.org/Product>||||mobile high-definition link (mhl)||black||yes||||4 port(s)||english, french, spanish||||||led backlight - local dimming||||||
http://dws.products.catalog/c2caae52-d761-4fbe-a8bd-bebc5115b062||component, composite, hdmi||mts||tabletop||16.53 lbs||39.1 in||||||||39.6 in||||lf6300||ac 120/230 v ( 50/60 hz )||40lf6300||||wi-fi, lan||||2.2 in||||lg||||||||||yes||||1 year warranty||||yes||24 in||dtv:2-69, vhf:2-13, uhf:14-69, cable:1-135, dtv:1-135||ntsc||24p real cinema||atsc, qam||just scan||||||||||40lf6300||mp3, wma, pcm, ac3, aac, he-aac, e-ac3, dts||40 in||0.3 watt||120hz refresh rate||||divx hd||24.3 lbs||||yes , 3 ports||00719192596818||1080p (full hd)||||||5.3 in||||||||35.9 in||dolby digital output||1920 x 1080||yes||2 speakers||90 watt||led-backlit lcd tv - smart tv||20.8 in||<http://schema.org/Product>||||||||||||3 ports||||||yes||led backlight||jpg, mpo, jps||||
http://dws.products.catalog/2aed2b1d-a3a0-4954-a6fd-9062c898dc78||component, composite, hdmi||mts||tabletop||50.04 lbs||62.6 in||passive||||1024 x 768 (xga), 640 x 480 (vga), 800 x 600 (svga), 1280 x 768 (wxga), 1280 x 1024 (sxga), 1360 x 768, 1920 x 1080, 3840 x 2160||64.5 in||sleep, wake||x900||ac 120/230 v ( 60 hz )||xbr65x900c||||wi-fi, lan||57.1 in x 10.1 in x 35.3 in x 51.6 lbs||1.5 in||2 x speaker - built-in - 7.5 watt 2 x woofer - built-in - 7.5 watt||sony||1x analog/digital combo||57.1 in x 1.5 in x 32.9 in x 50 lbs||||hotel mode, demo mode||yes||||1 year warranty||||yes||38.5 in||vhf:2-13, uhf:14-69, cable:1-135||ntsc||24p true cinema||atsc, qam||conventional 4:3, auto wide, full, wide zoom, zoom, normal||||||||yes||xbr-65x900c/us||||65 in||||motionflow xr 960||178 degrees||||||16:9||3 port(s)||00027242887824||4k uhdtv (2160p)||sony entertainment network||sony rmf-tx100u||7.8 in||||802.11b, 802.11g, 802.11n, 802.11a, 802.11ac||||57.1 in||dolby digital output, dts digital output, dolby digital plus output, dolby pulse output||3840 x 2160||yes||2||||led-backlit lcd tv||32.9 in||<http://schema.org/Product>||||mobile high-definition link (mhl)||black||yes||1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i, 2160/24p, 2160/30p, 720/24p, 720/30p, 2160/60p||4 port(s)||english, french, spanish||||yes||led backlight - edge-lit, frame dimming||||||
http://dws.products.catalog/9e98909d-c2cb-4b28-86f4-0ec6324b9ec5||component, composite, hdmi||||tabletop||37.04 lbs||54.7 in||||||||54.6 in||||hu6840||ac 120 v ( 60 hz )||un55hu6840||||wi-fi, lan||||2 in||2 x main channel speaker - built-in - 10 watt||samsung||||||||||yes||||1 year warranty||||yes||31.9 in||||||||atsc, qam||||||||||||un55hu6840fxza||||55 in||0.5 watt||240 clear motion rate||||||54 lbs||||yes , 3 port(s)||00887276072579||4k uhdtv (2160p)||smart hub||samsung tm1260c||7 in||||||||48.8 in||dolby digital output, dts digital output, dolby digital plus output, dolby pulse output||3840 x 2160||yes||2 speakers||188 watt||led-backlit lcd tv - smart tv||28.3 in||<http://schema.org/Product>||||||black||yes||||4 port(s)||english, french, spanish||||yes||led backlight||||||
http://dws.products.catalog/9d66a833-63e5-4f2b-a9ae-4642f1b02b84||component, composite, hdmi||mts||tabletop||12.8 lbs||35.5 in||||||||31.5 in||sleep, wake||eh5300||ac 120 v ( 60 hz )||un32eh5300||||wi-fi, lan||||3.7 in||2 x main channel speaker - built-in - 10 watt||samsung||1x analog, 1x digital||||||||||||1 year warranty||||yes||20.9 in||||||||||||||black||||||un32eh5300||||32 in||0.3 watt||120 hz clear motion rate||||||17.6 lbs||||yes , 2 port(s)||00036725236929, 00794504962659||1080p (fullhd)||smart hub||samsung tm1250||6.4 in||||||||29.1 in||dts digital output, dolby digital plus output, dolby pulse output||1920 x 1080||yes||2 speakers||69 watt||led-backlit lcd tv - smart tv||17.5 in||<http://schema.org/Product>||||||high glossy black||yes||||3 port(s)||english, french, spanish||||yes||led backlight||||||
http://dws.products.catalog/3faf87c5-549d-45df-a52e-c7306e4a04b0||component, composite, hdmi, s-video||||tabletop||||||||||||13.3 in||sleep||tde||ac 120/230 v ( 50/60 hz )||tde1380b||||||||||2 x main channel speaker - built-in||gpx||||||12 ms||||yes||500:1||90 days warranty||||yes||||||ntsc||||atsc||||200 cd/m2||||||||tde1380b||mp3||13.3 in||||||140 degrees||||||16:9||1 port(s)||||720p||||||||||||||||||1280 x 800||||2||||led-backlit lcd tv||||<http://schema.org/Product>||||vga (hd-15), hdmi||||yes||480p, 720p, 1080i, 1080p, 480i, 720i||3 port(s)||english, french, spanish||||||||jpg||yes||
http://dws.products.catalog/423b786b-4304-4b2d-a629-7e02299a094b||component, composite, hdmi||||tabletop||||53.6 in||||||||54.6 in||sleep, wake||x810c||||xbr55x810c||||wi-fi, lan, nfc||||||||sony||||||||||yes||||||||yes||33.1 in||||||24p true cinema||||auto wide, full, wide zoom, zoom, normal||||black||||||xbr-55x810c||||55 in||||motionflow xr 960||178 degrees||hevc||||16:9||yes , 3 ports||00027242888241||4k uhdtv (2160p)||google play, voice search||sony rmt-tx100u||8.5 in||||||||||dolby digital output, dolby digital plus output, dolby pulse output||3840 x 2160||yes||2 speakers||||led-backlit lcd tv - smart tv||||<http://schema.org/Product>||android tv||mobile high-definition link (mhl)||||||1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i, 2160/24p, 2160/30p, 720/24p, 720/30p, 2160/60p||4 ports||english, french, spanish||||||led backlight - direct-lit led, frame dimming||||||
http://dws.products.catalog/09b171a0-2a03-4824-8338-52e45107cfe8||||||||||||||||||54.6 in||||x850b||||xbr55x850b||||||||||||sony||||||||||||||||||||||||||||||||||||||||xbr-55x850b||||55 in||||||||||||||||||||||||||||||||||||||||2||257 watt||led-backlit lcd tv||||<http://schema.org/Product>||||||||||||||||||||||||||
http://dws.products.catalog/2b7faf66-f835-4a52-895e-6eb730d91cd6||component, composite, hdmi||||tabletop||47.2 lbs||63.2 in||active - active shutter||||||60 in||||ju7100||ac 120 v ( 60 hz )||un60ju7100||||wi-fi, lan||||2.7 in||2 x main channel speaker - built-in - 10 watt||samsung||1x analog, 1x digital||||||||yes||||||||yes||35.1 in||||||||atsc, qam||||||brushed silver||yes||yes ( 3d glasses sold separately )||un60ju7100fxza||||60 in||0.3 watt||240 clear motion rate||||||69 lbs||||yes , 3 port(s)||00887276094564||4k uhdtv (2160p)||smart hub||samsung tm1560a||7.2 in||||802.11ac||||53.7 in||dts digital output, dolby digital plus output||3840 x 2160||yes||2 speakers||245 watt||led-backlit lcd tv - smart tv||31.1 in||<http://schema.org/Product>||||mobile high-definition link (mhl)||black||yes||||4 port(s)||english, french, spanish||||||led backlight - local dimming||||||
